start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
0	1	DIRECTORY_OF			
0	6	DIRECTORY_OF			
1	2	FILE_OF			
2	3	ENTRY			
2	4	EXIT			
2	5	PARENT_OF			
6	7	FILE_OF			
7	8	ENTRY			
7	9	EXIT			
7	10	PARENT_OF			
10	11	PARENT_OF			
10	15	PARENT_OF			
10	70	PARENT_OF			
11	12	PARENT_OF			
11	14	PARENT_OF			
11	15	FLOWS_TO			
12	13	PARENT_OF			
15	16	PARENT_OF			
15	18	PARENT_OF			
15	70	FLOWS_TO			
16	17	PARENT_OF			
18	19	ENTRY			
18	20	EXIT			
18	21	PARENT_OF			
18	22	PARENT_OF			
18	23	PARENT_OF			
18	32	PARENT_OF			
18	33	PARENT_OF			
18	68	PARENT_OF			
18	69	PARENT_OF			
20	70	FLOWS_TO			
23	24	PARENT_OF			
23	28	PARENT_OF			
24	25	PARENT_OF			
24	26	PARENT_OF			
24	27	PARENT_OF			
28	29	PARENT_OF			
28	30	PARENT_OF			
28	31	PARENT_OF			
33	34	PARENT_OF			
33	43	PARENT_OF			
33	50	PARENT_OF			
33	59	PARENT_OF			
34	35	PARENT_OF			
34	37	PARENT_OF			
34	2545	FLOWS_TO			
34	43	FLOWS_TO			
35	36	PARENT_OF			
37	38	PARENT_OF			
37	39	PARENT_OF			
39	40	PARENT_OF			
39	42	PARENT_OF			
40	41	PARENT_OF			
43	44	PARENT_OF			
43	46	PARENT_OF			
43	2545	FLOWS_TO			
43	50	FLOWS_TO			
44	45	PARENT_OF			
46	47	PARENT_OF			
46	48	PARENT_OF			
48	49	PARENT_OF			
50	51	PARENT_OF			
50	53	PARENT_OF			
50	2545	FLOWS_TO			
50	59	FLOWS_TO			
51	52	PARENT_OF			
53	54	PARENT_OF			
53	55	PARENT_OF			
55	56	PARENT_OF			
55	58	PARENT_OF			
56	57	PARENT_OF			
59	60	PARENT_OF			
59	62	PARENT_OF			
59	2545	FLOWS_TO			
60	61	PARENT_OF			
62	63	PARENT_OF			
62	64	PARENT_OF			
64	65	PARENT_OF			
64	67	PARENT_OF			
65	66	PARENT_OF			
